,Date,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
0,2019-04-04,Agriculture Development Bank Limited,62,305.00,301.00,304.00,11579.00,3514973.00,305.00,-1.00 
1,2019-04-04,Ankhu Khola Jalvidhyut Company Limited,41,82.00,79.00,79.00,800.00,64530.00,80.00,-1.00 
2,2019-04-04,Api Power Company Ltd.,32,136.00,133.00,136.00,6214.00,836466.00,136.00,0.00 
3,2019-04-04,Arambha Microfinance Bittiya Sanstha Ltd.,13,650.00,640.00,640.00,130.00,83410.00,650.00,-10.00 
4,2019-04-04,Arun Kabeli Power Ltd.,26,185.00,176.00,179.00,6799.00,1251827.00,182.00,-3.00 
5,2019-04-04,Arun Valley Hydropower Development Co. Ltd.,8,105.00,103.00,105.00,2426.00,250304.00,103.00,2.00 
6,2019-04-04,Asha Laghubitta Bittiya Sanstha Ltd,169,480.00,474.00,477.00,1730.00,824910.00,480.00,-3.00 
7,2019-04-04,Asian Life Insurance Co. Limited,18,393.00,388.00,393.00,3429.00,1337963.00,395.00,-2.00 
8,2019-04-04,Bank of Kathmandu Ltd.,89,251.00,247.00,249.00,23238.00,5799313.00,250.00,-1.00 
9,2019-04-04,Barun Hydropower Co. Ltd.,12,99.00,97.00,98.00,130.00,12770.00,98.00,0.00 
10,2019-04-04,Bhargav Bikash Bank Ltd.,52,171.00,158.00,165.00,13953.00,2268209.00,157.00,8.00 
11,2019-04-04,Butwal Power Company Limited,67,360.00,354.00,358.00,6629.00,2375469.00,361.00,-3.00 
12,2019-04-04,Central Finance Co. Ltd.,5,108.00,107.00,107.00,700.00,75150.00,107.00,0.00 
13,2019-04-04,Century Commercial Bank Ltd.,93,170.00,165.00,167.00,14560.00,2440219.00,168.00,-1.00 
14,2019-04-04,Century Commercial Bank Ltd. Promoter Share,1,140.00,140.00,140.00,9500.00,1330000.00,140.00,0.00 
15,2019-04-04,Chautari Laghubitta Bittya Sanstha Ltd,129,515.00,500.00,505.00,1650.00,834610.00,509.00,-4.00 
16,2019-04-04,Chhimek Laghubitta Bikas Bank Limited,14,890.00,889.00,890.00,1468.00,1306470.00,895.00,-5.00 
17,2019-04-04,Chhyangdi Hydropower Ltd.,5,103.00,101.00,101.00,59.00,6008.00,103.00,-2.00 
18,2019-04-04,Chilime Hydropower Company Limited,33,506.00,502.00,502.00,4064.00,2046184.00,504.00,-2.00 
19,2019-04-04,Citizen Bank International Limited,80,219.00,215.00,216.00,19707.00,4263479.00,218.00,-2.00 
20,2019-04-04,Citizen Investment Trust,38,2610.00,2533.00,2570.00,1685.00,4362524.00,2580.00,-10.00 
21,2019-04-04,Citizens Mutual Fund -1,2,8.94,8.77,8.94,1500.00,13240.00,8.94,0.00 
22,2019-04-04,City Express Finance Co. Limited,3,101.00,99.00,101.00,718.00,71618.00,99.00,2.00 
23,2019-04-04,Civil Bank Ltd,128,163.00,158.00,160.00,127721.00,20442779.00,161.00,-1.00 
24,2019-04-04,Civil Bank Ltd Promoter Share,1,118.00,118.00,118.00,18000.00,2124000.00,118.00,0.00 
25,2019-04-04,Civil Laghubitta Bittiya Sanstha Ltd.,8,580.00,571.00,573.00,377.00,217991.00,580.00,-7.00 
26,2019-04-04,Deprosc Laghubitta Bittiya Sanstha Limited,13,591.00,585.00,585.00,1100.00,645850.00,583.00,2.00 
27,2019-04-04,Deva Bikas Bank Limited,45,127.00,125.00,126.00,14401.00,1816493.00,126.00,0.00 
28,2019-04-04,Dibyashwori Hydropower Ltd.,4,87.00,86.00,86.00,43.00,3709.00,88.00,-2.00 
29,2019-04-04,Everest Bank Limited,98,602.00,591.00,596.00,19345.00,11576825.00,592.00,4.00 
30,2019-04-04,Everest Insurance Co. Ltd.,10,856.00,850.00,850.00,248.00,211420.00,860.00,-10.00 
31,2019-04-04,Excel Development Bank Ltd.,1,294.00,294.00,294.00,10.00,2940.00,299.00,-5.00 
32,2019-04-04,First Micro Finance Laghubitta Bittiya Sanstha Ltd.,11,371.00,370.00,370.00,1539.00,570478.00,370.00,0.00 
33,2019-04-04,Forward Community Microfinance Bittiya Sanstha Ltd.,10,1519.00,1507.00,1507.00,522.00,790917.00,1516.00,-9.00 
34,2019-04-04,Gandaki Bikas Bank Limited,31,192.00,188.00,189.00,14389.00,2725685.00,189.00,0.00 
35,2019-04-04,Garima Bikas Bank Limited,40,193.00,191.00,191.00,17801.00,3419592.00,191.00,0.00 
36,2019-04-04,Global IME Bank Limited,115,274.00,265.00,272.00,36987.00,10022272.00,267.00,5.00 
37,2019-04-04,Global IME Laghubitta Bittiya Sanstha Ltd.,5,1030.00,1010.00,1010.00,59.00,60380.00,1024.00,-14.00 
38,2019-04-04,Global IME Samunnat Scheme-1,1,7.50,7.50,7.50,2000.00,15000.00,7.45,0.05 
39,2019-04-04,Goodwill Finance Co. Ltd.,3,123.00,119.00,123.00,120.00,14368.00,120.00,3.00 
40,2019-04-04,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,54,448.00,440.00,441.00,2345.00,1038720.00,445.00,-4.00 
41,2019-04-04,Green Development Bank Ltd.,13,107.00,105.00,106.00,1404.00,148289.00,105.00,1.00 
42,2019-04-04,Gurans Life Insurance Company Ltd.,19,501.00,492.00,494.00,1713.00,853812.00,497.00,-3.00 
43,2019-04-04,Gurkhas Finance Ltd.,13,112.00,110.00,112.00,2449.00,270457.00,110.00,2.00 
44,2019-04-04,Himalayan Bank Limited,36,477.00,464.00,475.00,4395.00,2073910.00,472.00,3.00 
45,2019-04-04,Himalayan Distillery Limited,3,1366.00,1364.00,1366.00,30.00,40960.00,1340.00,26.00 
46,2019-04-04,Himalayan General Insurance Co. Ltd,13,380.00,375.00,376.00,968.00,363950.00,375.00,1.00 
